Timestamp,Stress Probability (%),Latency (ms),LED State
13:05:2025:23:34:57,97.63%,124.619,ON
13:05:2025:23:34:57,96.27%,43.590,ON
13:05:2025:23:34:57,97.80%,41.984,ON
13:05:2025:23:34:58,91.70%,41.090,ON
13:05:2025:23:34:58,92.44%,42.677,ON
13:05:2025:23:34:58,98.92%,40.773,ON
13:05:2025:23:34:58,78.26%,42.973,ON
13:05:2025:23:34:58,54.23%,41.066,ON
13:05:2025:23:34:58,2.07%,43.146,OFF
13:05:2025:23:34:58,29.27%,43.350,OFF
13:05:2025:23:34:58,97.32%,42.089,ON
13:05:2025:23:34:58,95.84%,42.260,ON
13:05:2025:23:34:58,94.59%,46.070,ON
13:05:2025:23:34:58,98.73%,44.053,ON
13:05:2025:23:34:59,91.05%,45.945,ON
13:05:2025:23:34:59,95.72%,47.226,ON
13:05:2025:23:34:59,93.33%,42.722,ON
13:05:2025:23:34:59,47.02%,42.269,OFF
13:05:2025:23:34:59,37.27%,41.816,OFF
13:05:2025:23:34:59,9.13%,41.962,OFF
13:05:2025:23:34:59,94.80%,41.378,ON
13:05:2025:23:34:59,95.84%,39.957,ON
13:05:2025:23:34:59,95.39%,44.584,ON
13:05:2025:23:34:59,99.01%,40.170,ON
13:05:2025:23:34:59,87.42%,42.145,ON
13:05:2025:23:35:00,93.22%,42.208,ON
13:05:2025:23:35:00,98.18%,45.519,ON
13:05:2025:23:35:00,57.72%,44.570,ON
13:05:2025:23:35:00,46.53%,43.854,OFF
13:05:2025:23:35:00,2.67%,45.654,OFF
13:05:2025:23:35:00,82.37%,42.325,ON
13:05:2025:23:35:00,95.95%,44.898,ON
13:05:2025:23:35:00,95.36%,40.527,ON
13:05:2025:23:35:00,96.10%,43.184,ON
13:05:2025:23:35:00,92.52%,43.913,ON
13:05:2025:23:35:01,91.95%,39.600,ON
13:05:2025:23:35:01,98.69%,42.966,ON
13:05:2025:23:35:01,62.24%,40.952,ON
13:05:2025:23:35:01,46.61%,42.573,OFF
13:05:2025:23:35:01,0.53%,41.245,OFF
13:05:2025:23:35:01,47.45%,47.281,OFF
13:05:2025:23:35:01,97.23%,43.599,ON
13:05:2025:23:35:01,95.36%,42.843,ON
13:05:2025:23:35:01,95.96%,45.131,ON
13:05:2025:23:35:01,93.58%,42.416,ON
13:05:2025:23:35:01,89.48%,43.334,ON
13:05:2025:23:35:02,98.91%,54.595,ON
13:05:2025:23:35:02,79.50%,49.179,ON
13:05:2025:23:35:02,42.52%,41.158,OFF
13:05:2025:23:35:02,2.49%,43.011,OFF
13:05:2025:23:35:02,22.37%,42.745,OFF
13:05:2025:23:35:02,93.21%,42.514,ON
13:05:2025:23:35:02,94.46%,43.648,ON
13:05:2025:23:35:02,95.13%,41.761,ON
13:05:2025:23:35:02,97.32%,44.642,ON
13:05:2025:23:35:02,89.51%,42.380,ON
